Numero;Partie;NbJoueurs;Titre;Gagnant;Premium;Vocale;Mumble;Anonyme;Sans Points;Selective;MDJ;Capitaine;VO;VC;St-Patrick;Halloween;Créateur;dateDebut;dateFin;heureDebut;heureFin;Duree;nbVotes;nbDevotes;NbInterventions;Simple Villageois;Loup-Garou;Voyante;Salvateur;Sorcière;Chasseur;Chasseur Bavard;Cupidon;Ancien;Loup-Garou Blanc;Chaman;Voleur;Petite Fille;Idiot du Village;Bouc émissaire;Joueur de Flûte;Enfant Sauvage;Corbeau;Villageois-Villageois;Ange;Infect Père des Loups;Grand Méchant Loup;Soeurs;Montreur d'Ours;Renard;Chien Loup;Frères;Chevalier à l'Epée rouillée;Marionnettiste;Juge Bègue;Voyante Bavarde;Lapin Blanc;Ankou;Noctambule;Couple
3737276;Fun;9;Popypo;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;Popypo;17/12/2015;17/12/2015;05h55;06h08;13;29;4;72;0;2;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;None
3737282;Fun;8;Popypo;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Popypo;17/12/2015;17/12/2015;06h14;06h24;10;21;4;70;0;2;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Kaanibaru-Agent46
3737283;Fun;8;Biroute;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;xxteamxx;17/12/2015;17/12/2015;06h20;06h33;13;25;2;122;0;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;None
3737285;Fun;9;Popypo;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Popypo;17/12/2015;17/12/2015;06h28;06h40;12;17;1;114;0;2;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Popypo-Toytay
3737289;Fun;9;Popypo;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;Popypo;17/12/2015;17/12/2015;06h41;06h53;12;13;1;93;0;2;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Kaanibaru-Warmaju
3737293;Fun;10;sans prise tete;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Supervinh;17/12/2015;17/12/2015;06h50;07h04;15;24;5;106;0;2;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;vranvrand-Trollface0
3737298;Fun;8;Les pandas love;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Mllepanda;17/12/2015;17/12/2015;07h01;07h09;9;23;1;53;0;3;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Philippe67-Karitsu
3737313;Fun;11;Les pandas love;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Mllepanda;17/12/2015;17/12/2015;07h42;07h55;12;14;0;65;0;3;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Laydown-Philippe67
3737316;Fun;8;sans prise tete;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Madifrappe;17/12/2015;17/12/2015;07h59;08h11;12;25;4;100;0;2;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Madifrappe-Pingouin86
3737319;Fun;13;Les pandas love;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Mllepanda;17/12/2015;17/12/2015;07h57;08h19;22;30;2;195;0;3;0;1;1;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Luchigal-ettezeb
3737324;Fun;12;Luchigal;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Luchigal;17/12/2015;17/12/2015;08h19;08h29;9;26;4;65;0;2;0;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Dracolosss-Luchigal
3737326;Fun;8;sans prise tete;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Madifrappe;17/12/2015;17/12/2015;08h23;08h32;10;13;4;56;0;2;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Madifrappe-Imadragon
3737327;Fun;11;1S3;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;thirty;17/12/2015;17/12/2015;08h16;08h25;9;20;0;58;0;3;0;1;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;leplusboo-clemzouill
3737334;Fun;12;Moon VS Sun;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Reden;17/12/2015;17/12/2015;08h26;08h40;14;34;6;106;0;2;0;1;1;1;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Arcanay-Rand3000
3737335;Fun;12;Team COOP;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;superluxen;17/12/2015;17/12/2015;08h43;09h02;19;35;5;115;0;2;0;1;1;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;superluxen-samsam3008
3737339;Fun;15;Luchigal;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;Luchigal;17/12/2015;17/12/2015;08h32;08h52;20;29;3;109;0;2;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;Agent46-Killerbize
3737340;Fun;8;sans prise tete;Loups-Garous;None;False;False;False;None;None;False;False;False;False;None;None;Madifrappe;17/12/2015;17/12/2015;08h37;08h51;15;19;6;121;0;2;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Madifrappe-vranvrand
3737346;Normale;0;TUTORIEL;Villageois;None;False;False;False;None;None;False;False;False;False;None;None; ;01/01/1970;01/01/1970;08h44;08h48;24172309;6;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;None
3737347;Fun;11;1S3;Villageois;None;False;False;False;None;None;False;False;False;False;None;None;thirty;17/12/2015;17/12/2015;08h44;08h57;13;33;1;87;0;3;0;1;1;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;juliettedz-nanouche13
